prediction	reference
de man wie mei it wapen op paaddien nei syn eardere wurkjouwer	De man wie mei it wapen op paad gien nei syn eardere wurkjouwer.
it spitige is dat ik dy ynformaasje sels byinoarfandele muorten haw	It spitige is dat ik dy ynformaasje sels byinoar fandelje moatten haw.
oer san ding foan neat hoechststnet san opskuort te meitsjen	Oer sa'n ding fan neat hoechst net sa'n opskuor te meitsjen.
de keuken is it klopjend hert fan it hûs	De keuken is it klopjend hart fan it hûs.
stjoer email troch	Stjoer e-mail troch.
neffens ferskate meiwurkers waard mei klachten neat dien	Neffens ferskate meiwurkers waard mei klachten neat dien.
ik seach harren efter nei wylstja hân yn hân troch de poarte giene	Ik seach harren efternei wylst hja hân yn hân troch de poarte giene.
ik doch as alle oaren en slach de earm om e faam hinne	Ik doch as alle oaren en slach de earm om 'e faam hinne.
dimje de ljochten	Dimje de ljochten.
ik sjoch him leauver fan efteren as fan foaren	Ik sjoch him leaver fan efteren as fan foaren.
wiskje folgjende wurd	Wiskje folgjende wurd.
dat is heel wat oars as wat ik ferwachte hie	Dat is heel wat oars as wat ik ferwachte hie.
it hart draaide my om yn it liif	It hart draaide my om yn it liif.
dat ha ik noait sei	Dat ha ik noait sein!
hja rûn tongersdeis mei boeken en ferkocht foaral streekromans  n	Hja rûn tongersdeis mei boeken en ferkocht foaral streekromans.
dyt syn gat baarnt moat op e blirren sitte	Dy't syn gat baarnt, moat op 'e blierren sitte.
hy is dêr de oare moarns om tsien oere	Hy is der de oare moarns om tsien oere.
dêr wol ik graach in aplaus foar	Dêr wol ik ek graach in applaus foar.
hoe kom ik fan hjir nei enmailjants	Hoe kom ik fan hjir nei Emiel Jans?
dieren waarden soms samar eftker litten	Dieren waarden soms samar efterlitten.
apen klimme yn beammen	Apen klimme yn beammen.
de kat wie heel meager doet her ringt a syl kaam	De kat wie heel meager doe't er yn it asyl kaam.
sa leverje wy allegearre ús bydragge ta ferbettering fan de wrâld	Sa leverje wij allegearre ús bydrage ta ferbettering fan de wrâld.
fan moarnsdeir ôf kinne jo hjir derjochte foar in kop kofje	Fan moarns ôf kinne jo hjir terjochte foar in kop kofje.
njoggen jier lyn binne k út armeenijeë nei nederlân kommen	Njoggen jier lyn bin ik út Armenië nei Nederlân kommen.
de sporter sette troch en hie efterôf al hiel gjin spyt	De sporter sette troch en hie efterôf alhiel gjin spyt.
yn dizze sniejacht draaide de wyn	Yn dizze sniejacht draaide de wyn.
de swiere apparaten moatte mei twa kralnen it fabryk yntakele wurde	De swiere apparaten moatte mei twa kranen it fabryk yn takele wurde.
de striid rint hieltyd near út e hâllen	De striid rint hieltyd mear út de hân.
de omset yn e hierfersoarging is yn de earste seis moanne ta mommen	De omset yn hierfersoarging is yn de earste seis moannen tanommen.
we hawwet on in aktive noch hannelsbelâns as wy mear út as ynfiere	Wy hawwe it oer in aktive hannelsbalâns as wy mear út- as ynfiere.
de húshâlding telde sânbern seis jonges en ien famke	De húshâlding telde sân bern, seis jonges en ien famke.
de tredde tiisdeiin septimber presintearret it ferkear de miljoen e noa ta en de ryksbegrutting	De tredde tiisdeis yn septimber presintearret it regear de miljoenenota en de ryksbegrutting.
miskien fûnen hy it wol in goed idee	Miskien fûn hy it wol in goed idee.
ik fiel my mislik	Ik fiel my mislik.
we moatte mar sjen hoet it him fierder ûntwynt	Wy moatte mar ris sjen hoe't it him fierder ûntwynt.
is der yn dy húshâlding altyd san tobberij	It is dêr yn dy húshâlding altyd sa'n tobberij.
selektearje it foarige	Selektearje it foarige.
hy moat ûnderwillens in flink ein yn de fyftich wêze	Hy moat ûnderwilens in flink ein yn de fyftich wêze.
nei de brân waard rekkenholden mei moedwil benammen omdat der knallen heard wienen	Nei de brân waard rekken holden mei moedwil, benammen omdat der knallen heard wienen.
yn alle dagen fan de maatskipby koene je wol kristenen oantreffe	Yn alle lagen fan de maatskippij koenen je wol kristenen oantreffe.
minsken kamen út drintewei hjier te wenjen	Minsken kamen út Drinte wei hjir te wenjen.
hy besiket om troch it rút te klimmen	Hy besiket om troch it rút te klimmen.
omwenners hearden om seis oere hinne in lûde klap en bellende plysje	Omwenners hearden om seis oere hinne in lûde klap en bellen de polysje.
stjoer anzgelyk in bjadskip wat tinkt dy fan fan e jûn	Stjoer Angelique in boadskip: Wat tinkt dy fan fan 'e jûn?
display út	Display út.
it leveret jo foar it hele bedriuw in rindemintsferbettering op	It leveret jo foar it hiele bedriuw in rindemintsferbettering op.
ferpleats de rigel trije rigels omheech	Ferpleats de rigel trije rigels omheech.
as it rein bliuwt thús	As it reint, bliuw ik thús.
binne sy jin bern	Binne sy jim bern?
hingje op	Hingje op.
it wie smuorert yn e keamer	It wie smoarhjit yn 'e keamer.
it like wol as koe der net fan it plak komme	It like wol as koe er net fan 't plak komme.
men kin nea witte wanneart de sykte útbrekt	Men kin nea witte wannear't de sykte útbrekt.
it hat ús hjir tige goed foldien en wy komme wisse nochris werom	It hat ús hjir tige goed foldien en wy komme wis noch ris werom.
ik wit noch nea net wat ik oan him ha	Ik wit noch nea net wat ik oan him haw.
de bern wurde hieltyd selsstanniger	De bern wurde hieltyd selsstanniger.
ek him is it ûnmooglik makke	Ek him is it ûnmooglik makke.
ibliau wyt al brânde de sinne noch sa fûl	Syn fel bleau wyt, al brânde de sinne noch sa fûl.
earder naam christ sneons blommen foar har mei	Earder naam Chris sneons blommen foar har mei.
skriuw de earste fiif wurden	Skriuw de earste fiif wurden.
it bestjoer fan de feriening wol de kapasiteit fan i tal toerrieders útwreidzje	It bestjoer fan de feriening wol de kapasiteit fan it tal toerriders útwreidzje.
al soenen se my deadwaan ik wit it net	Al soene se my dea dwaan, ik wit it net.
de iene kear waskust de fuotten wol en de oare kear net	De iene kear waskest de fuotten wol en de oare kear net.
yn ús studintetiid stienen we by nacht en oentiid byinoar op e stope	Yn ús studintetiid stiene wy by nacht en ûntiid byinoar op 'e stoepe.
blêdzje troch ôfspyllist	Blêdzje troch ôfspyllist.
hy besocht yn de tritiger jierren in bestean op te bouwen as skriuwer	Hy besocht yn de tritiger jierren in bestean op te bouwen as skriuwer.
der sitte trettjin minsken om dizze tafel en der komme noch in pear by	Der sitte trettjin minsken om dizze tafel en der komme noch in pear by.
de polysje nimt de saak heech op en praat fan besykjend ta deaslach	De polysje nimt de saak heech op en praat fan besykjen ta deaslach.
foar in soad lytse boeren yn de ûntwikkelingslannen is byuwelânbou wie er wol in alternatyf	Foar in soad lytse boeren yn de ûntwikkelingslannen is biolânbou wier wol in alternatyf.
sinnepanielen binne troch harren omfangen wyngefoelich en moatte stevich fêstset wurde	Sinnepanielen binne troch harren omfang wyngefoelich en moatte stevich fêstset wurde.
de direkteur wol trochfjochtsje foar in werstard fan it fabryk	De direkteur wol trochfjochtsje foar in werstart fan it fabryk.
in supermerk hat by fersin fryskalige postors ophongen yn de stêd grins	In supermerk hat by fersin Frysktalige posters ophongen yn de stêd Grins.
se pakte snein mei oermacht har fjirdech europeeske olroumdtitel	Se pakte snein mei oermacht har fjirde Europeeske allroundtitel.
no en dan is it dreech realiteit fan fantasy te ûnderskieden	No en dan is it dreech realiteit fan fantasy te ûnderskieden.
de tongersdeitenachts begûn it te reinen en dat holdt op freedtemiddei pans op	De tongersdeitenachts begûn it te reinen en dat hold op freedtemiddei pas op.
syn frou wi al dea wy hie it oan it hert krigen	Syn frou wie al dea, dy hie it oan it hert krigen.
de keunstineures begelate it lied op har mûlharpe	De keunstneres begelate it liet op har mûlharpe.
wêr is minne hinne	Wêr is Minne hinne?
it famke seach as krige se te hearren dat se de hûnderttûzen mûn hie	It famke seach as krige se te hearren dat se de hûnderttûzen wûn hie.
de romtelike yntegraasje is hjir minder goedslagge	De romtlike yntegraasje is hjir minder goed slagge.
hy wit it noch as de dei fan juster	Hy wit it noch as de dei fan juster.
yn grutte stêden nimt it tal dakleazen ta en ûntsteane probleemwiken	Yn grutte stêden nimt it tal dakleazen ta en ûntsteane probleemwiken.
ik doch myn wurk en dêrmei út	Ik doch myn wurk en dêrmei út.
hasto it dit wykein oan tiid as leaver in oare kear te	Hasto it dit wykein oan tiid of leaver in oare kear?
gean nei it begjin fan de sin	Gean nei it begjin fan de sin.
mail dokter stouten mei de tekst tanke ik ha de papieren ûntfangenen	Mail dokter Stouten mei de tekst: Tanke, ik ha de papieren ûntfongen.
it tal ynbraken is mei de krystdagen twakear sa heech as gewoan wei	It tal ynbraken is mei de krystdagen twa kear sa heech as gewoanwei.
wyknipperje middeis heel efkes want de jetlaag slacht sonder genede ta	Wy knipperje middeis heel even want de jetlag slacht sonder genede ta.
de meldingen kamen it ôfrûne jier binnen	De meldingen kamen it ôfrûne jier binnen.
ik bin bang dat it raa earnspûn hie	Ik bin bang dat it raar jern spûn hie.
de stikken foar de gearkomste fan tiisdei krijst meast saterdeis	De stikken foar de gearkomste fan tiisdei krijst meast saterdeis.
it byld fan it berntsjejezzes leit sûnt tiisdei mer yn de kryststâl	It byld fan it berntsje Jezus leit sûnt tiisdei wer yn de kryststâl.
goud wurdt al sûnts de twadde iuw fan ús iertelling ferwurke yn trouringen	Goud wurdt al sûnt de twadde iuw fan ús jiertelling ferwurke yn trouringen.
set ûndertitels oan	Set ûndertitels oan.
de brune râld kin ek yn rioelen blibje	De brune rôt kin ek yn rioelen libje.
dêr wol ik ek graach in applaus foar	Dêr wol ik ek graach in applaus foar.
joust in finger dan nimme se de hiele hân	Joust in finger, dan nimme se de hiele hân.
hy lit him dan neat oangelegen lizze	Hy lit him der neat oan gelegen lizze.
nei lang stoar eagjen knikt er mei de holle tt	Nei lang stoareagjen knikte er mei de holle.
de keunstneres begelate it lied op har mûlharpe	De keunstneres begelate it liet op har mûlharpe.
ik fyn it minder dat dêr diskriminearre wurdt	Ik fyn it minder dat der diskriminearre wurdt.
oerskeakelje nei word	Oerskeakelje nei Word.
a de bus is der	Ah, de bus is der.
de polysje hat it wapen yn it hûs fûn en yn beslach naam	De polysje hat it wapen yn it hús fûn en yn beslach naam.
as haadfak studearre er moderne literatuer	As haadfak studearret er moderne literatuer.
hoeblûdgefoelich moat men wêze om it bûtenbartsje fan bern ferbiede te litten	Hoe lûdgefoelich moat men wêze om it bûten boartsjen fan bern ferbiede te litten?
hy hie in baan dronk amper of neat en hay betelle syn skulden ôf	Hy hie in baan, dronk amper of neat en hy betelle syn skulden ôf.
by gefol fan ôfwiezing bestiet de mooch cied dêr tsjin yn berop te gean	By gefal fan ôfwizing bestiet de mooglikheid dêrtsjin yn berop te gean.
dit opfangsintrum foar azylsikers leit oan e râne fan it kúndere bosk	Dit opfangsintrum foar asylsikers leit oan de râne fan it Kúnderbosk.
de fiif bindelieders rûnen tsjin de lampe oan	De fiif bindelieders rûnen tsjin 'e lampe oan.
gjin ien kear ferbean wurde om earlik oer syn of har eigen wurk te praten	Gjinien kin ferbean wurde om earlik oer syn of har eigen wurk te praten.
wy knipperje middeis heel even want dit jetlag slocht sûnder genede ta	Wy knipperje middeis heel even want de jetlag slacht sonder genede ta.
op de sûkermar binne freedtejûn trije minsken oppart foar fiskstreauperij	Op de Tsjûkemar binne freedtejûn trije minsken oppakt foar fiskstreuperij.
alles om him hinne is griis	Alles om him hinne is griis.
de opbringsen wiene yn pear gefallen wol twa kear sa heuch	De opbringsten wiene yn in pear gefallen wol twa kear sa heech.
ik haw opskreaun wat ik foar earem ha en wat ik berikke wol	Ik haw opskreaun wat ik foar eagen haw en wat ik berikke wol.
wy jitte dy graach wolkom op ús wykliks repetysjejûn op woanzdei	Wy hjitte dy graach wolkom op ús wyklikse repetysjejûn op woansdei.
earst tocht de frou dat har man wol wer opdûke soe	Earst tocht de frou dat har man wol wer opdûke soe.
efter yn e hûs hear ik him op syn dwerssleuit spiljen	Efter yn 'e hús hear ik him op syn dwersfluit spyljen.
dêr koe piter ek net foar	Dêr koe Piter ek net foar.
ho ris ik lit my net twinge	Ho ris, ik lit my net twinge!
tusken de twa hûzen leit in gjersfjild dellâns keas by it merkplein komme n	Tusken de twa huzen leit in gersfjild; dêrlâns kinst by it merkplein komme.
der wie in kreapke dêrt de kuierus wat ite of drinke koene	Der wie in kreamke dêr't de kuierders wat ite of drinke koene.
ik kin gjin goed mear by him dwaan	Ik kin gjin goed mear by him dwaan.
alle jierren jout it koar in tol goedbesochte konserpten	Alle jierren jout it koar in tal goed besochte konserten.
dat sil yn de rin fan dit programma bliken dwaan	Dat sil yn de rin fan dit programma bliken dwaan.
dy hege priis wurdt oan de konsuminten trochberekkene	Dy hege priis wurdt oan de konsuminten trochberekkene.
as ik jild hie soe ik it keapje kinne	As ik jild hie, soe ik it keapje kinne.
allegearre lytse dinkjes kinne de útslach fan de ferkiezings bepale	Allegearre lytse dinkjes kinne de útslach fan de ferkiezings bepale.
myn doekskoalle yn belieze haw ik ferkeapje moatten	Myn dûkskoalle yn Belize haw ik ferkeapje moatten.
troch de gearwurking sil de produksje mooglik ferdûgelje oant ferfjouwerfâldigje	Troch de gearwurking sil de produksje mooglik ferdûbelje oant ferfjouwerfâldigje.
it wie op in moaie waarme dei yn e maitiid	It wie op in moaie waarme dei yn de maitiid.
hy fielde him net by machte om it tij te kearen	Hy fielde him net by machte om it tij te kearen.
uteringsfrijheid hâldt net in beûnbeheind erjocht op misledigjen yn	Uteringsfrijheid hâldt net in ûnbeheind rjocht op misledigjen yn.
syn efterbaan drûch him op hannen	Syn efterban droech him op hannen.
in koart fan alle friezen yn nederlân wennet bûten fryslân	In kwart fan alle Friezen yn Nederlân wennet bûten Fryslân.
ik tink dat de lju op t heden te folle om hannen hawwe	Ik tink dat de lju op 't heden te folle om hannen hawwe.
dy plannen rûnen speak troch politike en technyske swierrichheden n	Dy plannen rûnen speak troch politike en technyske swierrichheden.
it medisyn is djoer en moat frijlang ynnommen wurde wol it effektyf wêze	It medisyn is djoer en moat frij lang ynnommen wurde, wol it effektyf wêze.
syn libben hinget oan in siden tried	Syn libben hinget oan in siden tried.
hy stelt hieltiten wer oare easken	Hy stelt hieltyd wer oare easken.
meit it hjir altyd sa hurd	Waait it hjir altyd sa hurd?
de kuier fil duorje oan it likernacht fjouwer oere	De kuier sil duorje oant likernôch fjouwer oere.
benammen yn de nacht fan saterdei op snein wie it need	Benammen yn de nacht fan saterdei op snein gie it need.
sjoch op aksjeferpakking folje dyn unike wynkoare yn en doch my	Sjoch op 'e aksjeferpakking, folje dyn unike winkoade yn en doch mei!
miskien wachte tilje op in wurd of it teken fan dy om frede te sluten	Miskien wachtet Tilly op in wurd of teken fan dy om frede te sluten.
de feestdagen steane foar de doar en it hearlik jûntsje is kommen	De feestdagen steane foar de doar en it hearlik jûntsje is kommen.
ik soe sizze lit dy minsken allegearnei rottum ta gean	Ik soe sizze lit dy minsken allegear nei Rottum ta gean.
wy binne in bytsje letter	Wy binne in bytsje letter.
ik ha dêr sels gjin aan fan hoet hja drút sjocht	Ik ha der sels gjin aan fan hoe't hja derút sjocht.
mei in gleske wyn derby beslute wy om te wachtsjen oan de moarntiid ta	Mei in gleske wyn derby beslute wy om te wachtsjen oan 'e moarntiid ta.
wikselje nei it foarige fianster	Wikselje nei it foarige finster.
kinst dy auto net oarspakkearje	Kinst dy auto net oars parkearje?
op e lange doer fertsjinje jo de kosten fansels werom	Op 'e lange doer fertsjinje jo dy kosten fansels werom.
ik ha der gjin wurden foar ik rin oar fan tankberens	Ik ha der gjin wurden foar, ik rin oer fan tankberens.
dizze minsken wenje thús en komme deis nei it deisintrum	Dizze minsken wenje thús en komme deis nei it deisintrum.
der wurdt al mear as fyftich jier praat oer de feilichheid op de diken	Der wurdt al mear as fyftich jier praat oer de feilichheid op de diken.
dat hie net wêze moatten en it muoit my tige	Dat hie net wêze moatten en it muoit my tige.
ik bin berne yn it helo yn it einleazen fan tiid en rûmte	Ik bin berne yn it Hielal, yn it einleaze fan tiid en rûmte.
earst soe it moarntenacht begjinne te friezen mar it wurdt al fan nacht	Earst soe it moarntenacht begjinne te friezen, mar dat wurdt al fannacht.
de flaksjefoarsitter hie foar de gelegenheid in fumpke makke	De fraksjefoarsitter hie foar de gelegenheid in filmke makke.
kiene je ferwachte dat jo útsocht wurde soene foar dit boeken wike geskink	Hiene je ferwachte dat jo útsocht wurde soene foar dit boekewikegeskink?
by de gemeente binne gjin klachten binnen kaam	By de gemeente binne gjin klachten binnen kaam.
we litte se fan tefoaren it hele kompleks even sjen	We litte se fan tefoaren it hele kompleks even sjen.
ik soe graach oanjefter dwaan wolle fan stellerij	Ik soe graach oanjefte dwaan wolle fan stellerij.
ik seach mei grutte eagen nei de persoanen yn fonkeljende gewaden	Ik seach mei grutte eagen nei de persoanen yn fonkeljende gewaden.
sy lûke in spoar fan fernielingen troch it hiele doarp	Se lûke in spoar fan fernielingen troch it hiele doarp.
de rjochtbank besjut ûanderoare oft der foar it sikehús in trochstaard yn sit t	De rjochtbank besjocht ûnder oare oft der foar it sikehús in trochstart yn sit.
hik makket dim net drok hoe wat syn dol folge wurdt	Hy makket him net drok oer wa't syn opfolger wurdt.
dy fertochte is ferheard en wer op frije fuotten steld er	De fertochte is ferheard en wer op frije fuotten steld.
hoe moatte wy de ekonomyske krisis de holle biede	Hoe moatte wy de ekonomyske krisis de holle biede?
pylk nei boppen ta	Pylk nei boppen ta.
binne alle talen weromte lieden op ien oertaal	Binne alle talen werom te lieden op ien oertaal?
ik sil besykje om it problematyske fam dizze opfetting oan te tânen	Ik sil besykje om it problematyske fan dizze opfetting oan te toanen.
se groeide op yn amsterdam yn in read nest	Se groeide op yn Amsterdam yn in read nêst.
san hâlding bringt har yn de probleemen	Sa'n hâlding bringt har yn de problemen.
yn alle iuwen hawwe de minsken bang lefst foar sypten	Yn alle iuwen hawwe de minsken bang west foar sykten.
it bestriden fan de oerlêst falt ôf	It bestriden fan de oerlêst falt ôf.
dat hinget ôf fan e kontekst	Dat hinget ôf fan de kontekst.
de konservator fan it museum hat de wurken útsocht	De konservator fan it museum hat de wurken útsocht.
pier hat sein dat ik der moarn wêze sil	Pier hat sein dat er der moarn wêze sil.
freegje wat de oanbieding fan e dei is	Freegje wat de oanbieding fan 'e dei is.
it eilân sjocht her ûnder de kriminaliteit	It eilân suchte ûnder de kriminaliteit.
it soe in tige kâlde nacht wurde mei in pear graden grûnfroast	It soe in tige kâlde nacht wurde mei in pear graden grûnfroast.
hja wie al fyftich mar hja seach er folle jonger út	Hja wie al fyftich, mar hja seach der folle jonger út.
doet se op dy sneintejûn op bêd geene fielde koos him wat griperich	Doe't se op dy sneintejûn op bêd giene, fielde Koos him wat griperich.
hy hat e lang omrûnen mei dat probleem	Hy hat te lang omrûn mei dat probleem.
ik bin no mei folslein oare dingen dwaande	Ik bin no mei folslein oare dingen dwaande.
it tal oanmeldingen by de skoalle is dit jier bot groeid	It tal oanmeldingen by de skoalle is dit jier bot groeid.
de druk liket dêrmei foar reast fan e tsjettel	De druk liket dêrmei foarearst fan 'e tsjettel.
hoe seach it dêr hjir doe út	Hoe seach it der hjir doe út?
mei ik myn yndividuele lok heger stelle as it nut fan it algemien	Mei ik myn yndividuele lok heger stelle as it nut fan it algemien?
net elk dyt de dik oft de tin is ûntwikkelet in minderweardichheidsgefoel	Net elk dy't te dik of te tin is, ûntwikkelet in minderweardichheidsgefoel.
hy wennet yn e wenarke yn e feart	Hy wennet yn de wenarke yn de feart.
twa frijers freegje oan de hân fan de leaflike abici	Twa frijers freegje om de hân fan de leaflike Abigail.
lit net oant moarn wachtsje watsthjoerd noch dwaan kinst tt	Lit net oant moarn wachtsje watst hjoed noch dwaan kinst.
by ús snijt it yn jannewaris	By ús snijt it yn jannewaris.
der binne oer de hiele wrâld mar inkelde tsientallen stikken in rukeramyk bekend	Der binne oer de hiele wrâld mar inkelde tsientallen stikken Ru-keramyk bekend.
as it freeds rein dan sjocht in sneons gjin mins	As it freeds reint, dan sjocht men saterdeis gjin mins.
de groep wurdt lyts holden om de kwaliteit fan de kursus te garandearjen	De groep wurdt lyts holden om de kwaliteit fan de kursus te garandearjen.
rotte beskriuwing nei hûs ta	Rûtebeskriuwing nei hús ta.
dat frege om swierrichheden mienen ja	Dat frege om swierrichheden mienden hja.
men soe hjir in krupsje fan skypje	Men soe hjir in krupsje fan skypje.
de delsetting waard rekke by loftoanfallen	De delsetting waard rekke by loftoanfallen.
hy is tige tefreden oert syn nije oanwinst	Hy is tige tefreden oer syn nije oanwinst.
ik haw der net by west want ik lis mei gryp op bêd	Ik haw der net by west, want ik lis mei gryp op bêd.
op e nacht foel der in tsjokpak snie dat dagen lizzen bleau	Op in nacht foel der in tsjok pak snie dat dagen lizzen bleau.
jaak seit har ta dat der in strik foar dwaan sil	Sjaak seit har ta dat er in strik foar dwaan sil.
boppe stienen fjouwer opmakke bêden mar op trije waard noait slept	Boppe stienen fjouwer opmakke bêden, mar op trije waard noait sliept.
syn passy foar hûndensport makke dat er in kompleet dypfrysmail foar hûnen ûntwikkele	Syn passy foar hûnesport makke dat er in kompleet djipfriesmiel foar hûnen ûntwikkele.
wy witte noch net krekt hoe lang at we bliuwe sille	Wy witte noch net krekt hoe lang at wy bliuwe sille.
hja koe harsels goed ferkeapje	Hja koe harsels goed ferkeapje.
der foelen seis slachtoffers	Der foelen seis slachtoffers.
yn e bus kaam ik neist san moiblear jongfeint te sitten	Yn de bus kaam ik neist sa'n moai blier jongfeint te sitten.
haww jo in twapersoanskeamer frij foar oare wike tongersdei en freed	Ha jo in twapersoans keamer frij foar oare wike tongersdei en freed?
de organisaasje slúts de kommende jierren in tal lokaasjes fanwegen besunigings	De organisaasje slút de kommende jierren in tal lokaasjes fanwegen besunigings.
hja hat de hiele wike al gjin koarts mear hân	Hja hat de hiele wike al gjin koarts mear hân.
sjoch op ús webside foar mear ynformaasje oer ús produkten hp	Sjoch op ús website foar mear ynformaasje oer ús produkten.
	Hja hie der al lang wer wêze moatten.
	Yn 'e fierte seagen wy it pears fan 'e heide.
nijin wike lyt se my trionfantelik it resultaat sjen	Nei in wike liet se my triomfantlik it resultaat sjen.
yn reade biten spinaasje en spitskol sit in protte ni traat	Yn reade biten, spinaazje en spitskoal sit in protte nitraat.
do hiest al in geweldige kondysje	Doe hiest al in geweldige kondysje.
se ha it makliker krigen	Se ha it makliker krigen.
trije leden fan dy wurkgroep binne diplomearre moilener	Trije leden fan dy wurkgroep binne diplomearre moolner.
wat moatte wy hjir no mei	Wat moatte wy hjir no mei?
jo kinne by har terjochte foar in wiidweidigege sichtsbehanneling	Jo kinne by har terjochte foar in wiidweidige gesichtsbehanneling.
lit ús earst begjinne mei dy muzykskoallen	Lit ús earst begjinne mei dy muzykskoallen.
der is oantsoek gien nei de winsken fan torristen dyt nei de ôfsruddyk komme	Der is ûndersyk dien nei de winsken fan toeristen dy't nei de Ofslútdyk komme.
	Der leit noch in kaai yn it laad.
	De brânwacht kaam mei meardere weinen nei de brân ta, mar it foel ta.
	It sjocht der in bytsje stil út.
de jonge yt oant syn fjirde allinnich bôle my sûker	De jonge iet oant syn fjirde allinnich bôle mei sûker.
ek it hjir af gryslike hurd net	Wat waait it hjir ôfgryslike hurd, net?
dan sjoch ik lever in oare kant út	Dan sjoch ik leaver in oare kant út.
jou yn it ingelsk antwurd op de folgjende fragen	Jou yn it Ingelsk antwurd op de folgjende fragen.
hy hat in grut burd en in snor	Hy hat in grut burd en in snor.
hy laket de wite tosken blead	Hy laket de wite tosken bleat.
ik hâld fan dy	Ik hâld fan dy.
de mêzjeikleur is it bêst te omskriuwen as rieammelkleurich mei in grizek baas	De bêzje kleur is it bêst te omskriuwen as rjemmekleurich mei in grizich waas.
hoet it ûngelok barre koe is net dúdlik	Hoe't it ûngelok barre koe, is net dúdlik.
de rjochtbank besjocht ûnder oare oft der foar it sikehûs in trochstardtie sit	De rjochtbank besjocht ûnder oare oft der foar it sikehûs in trochstart yn sit.
neffens my hat se wol gelyk	Neffens my hat se wol gelyk.
it parkoers is troch de iuw hinne hiel wat kearen wizige	It parkoers is troch de iuw hinne hiel wat kearen wizige.
earst tocht de frou dat har man wol wer opdûke soe	Earst tocht de frou dat har man wol wer opdûke soe.
kop of ment	Kop of munt.
sy litte de bern foar wyld omrinne	Sy litte de bern foar wyld omrinne.
better in goede buorman as in fiere freon	Better in goede buorman as in fiere freon.
alle spilers hawwe har bêst dien	Alle spilers hawwe har bêst dien.
ik ha hjir de heale nacht op dy sitten te wachtsjen	Ik ha hjir de heale nacht op dy sitten te wachtsjen.
set it feanster werom	Set it finster werom.
it swirte rûne moer de wangen en de rêch	It swit rûn him oer de wangen en de rêch.
hjis bie it wiifwei dyt twa handigen net bieanenoarde	Hy is by it wiif wei, dy twa handigen net byinoar.
it wie moai waar	It wie moai waar.
it slachtoffer waard op syn fyts oanriden troch in auto	It slachtoffer waard op syn fyts oanriden troch in auto.
nei de lêtste tonen wurdt wachte op it aplaus	Nei de lêste toanen wurdt wachte op it applaus.
foar moarn ha wy ús opjûn om te hyst te ridden op it strânen	Foar moarn hawwe wy ús opjûn om te hynsteriden op it strân.
soenen jo efkes nei myn skonk sjen kinne	Soenen jo efkes nei myn skonk sjen kinne?
neffens my binne jo ien fan de meest tagonklike skriuwers fan fryslannen	Neffens my binne jo ien fan de meast tagonklike skriuwers fan Fryslân.
it wienen koarte meditaasjes fan sawat in kertear	It wiene koarte meditaasjes fan sawat in kertier.
asto har oertsjûgje kinst om werom te kommen sil ik dy evich tankber wêze	Asto har oertsjûgje kinst om werom te kommen, sil ik dy ivich tankber wêze.
his heit prottelet al wat mar dat waait wol weroer	Us heit prottelet al wat, mar dat waait wol wer oer.
gean santjin nei ûnderen ta	Gean santjin nei ûnderen ta.
ofrûne sneontemiddei ha in grut part fan it doarp in skoftelang sonder stroom sitten	Ofrûne sneontemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten.
wat trappearre wurdt kin rekkenje op in hege bûte	Wa't trappearre wurdt, kin rekkenje op in hege boete.
wêr moattet my dy hinne	Wêr moat it mei dy hinne?
nei in wike mei in soad rein weardt dy sneontemoarns al de gelokst drûch	Nei in wike mei in soad rein wie it dy sneontemoarns aldergelokst drûch.
we moatte de werklikheid oan de rêgen doarre te sjen	Wy moatte de werklikheid ûnder eagen doare te sjen.
ik rin nei myn âlde piano en druk op ean fan de wite tûetsen	Ik rin nei myn âlde piano en druk op ien fan 'e wite toetsen.
witte jo wat dy tekst yn hâldt	Witte jo wat dy tekst ynhâldt?
de earne seit tsus en de oare seit sa	De iene seit sus en de oare seit sa.
hja frege him om har hannen tusken sinnens op te waarenjenrú hhh	Hja frege him om har hannen tusken sines op te waarmjen.
it is al in kear bard dat der mar ien besiker wie	It is al in kear bard dat der mar ien besiker wie.
dêr binne der mar twa fan op de heale wrâld	Dêr binne der mar twa fan op de hiele wrâld.
op it strân siet in ploechje jonge maalju en froulju	Op it strân siet in ploechje jonge manlju en froulju.
earsterjûn hawwe de bern in jionsskuier makke yn it tsjuster	Justerjûn hawwe de bern in jûnskuier makke yn it tsjuster.
dy man is sa oan oazgen dy litte fan alles wies meitsje	Dy man is sa ûnnoazel, dy lit him fan alles wiismeitsje.
hja hat sels weromskreaun mist lit se dat troch har amtners dwaan	Hja hat sels weromskreaun, meastal lit se dat troch har amtners dwaan.
by sieten mei in swierrichheid en wy hawwe dêr in persoanlike oplossing foar keazen	Wy sieten mei in swierrichheid, en wy hawwe dêr in persoanlike oplossing foar keazen.
as jo it foarunlear ferstjoerd hawwe krije jo in aktivearringslink	At jo it formulier ferstjoerd hawwe, krijge jo in aktivearringslink.
klik bewarje as	Klik Bewarje as.
foar en tsjinstanners reagearje fûl op de boikat	Foar- en tsjinstanners reagearje fûl op de boykot.
de hierkleur stiet by de berte noch net fêst	De hierkleur stiet by de berte noch net fêst.
